level0,level1,level2,level2,code,name,note,latitude,longitude
จ.เชียงราย,แม่สรวย,องค์การบริหารส่วนตําบลแม่พริก,แม่พริก,11195,รพ.แม่สรวย,รพ.,19.63,99.524
จ.เชียงราย,ป่าแดด,เทศบาลตำบลป่าแดด,ป่าแดด,6722,รพ.สต.ป่าแดด,รพ.สต.,19.507,100.015
จ.เชียงราย,ป่าแดด,เทศบาลตำบลป่าแดด,ป่าแดด,11191,รพ.ป่าแดด,รพ.,19.507,100.015
จ.เชียงราย,เทิง,เทศบาลตำบลเชียงเคี่ยน,เชียงเคี่ยน,6695,รพ.สต.เชียงเคี่ยน,รพ.สต.,19.625,99.99
จ.เชียงราย,เมืองเชียงราย,องค์การบริหารส่วนตําบลริมกก,ริมกก,6661,รพ.สต.บ้านสันตาลเหลือง,รพ.สต.,19.937,99.887
จ.เชียงราย,เมืองเชียงราย,องค์การบริหารส่วนตําบลริมกก,ริมกก,6662,รพ.สต.ริมกก,รพ.สต.,19.937,99.887
จ.เชียงราย,เชียงแสน,องค์การบริหารส่วนตําบลศรีดอนมูล,ศรีดอนมูล,6749,รพ.สต.บ้านสันสลี,รพ.สต.,20.336,100.002
จ.เชียงราย,เชียงแสน,องค์การบริหารส่วนตําบลศรีดอนมูล,ศรีดอนมูล,6750,รพ.สต.บ้านเวียงแก้ว,รพ.สต.,20.336,100.002
จ.เชียงราย,เชียงแสน,องค์การบริหารส่วนตําบลศรีดอนมูล,ศรีดอนมูล,6751,รพ.สต.ศรีดอนมูล,รพ.สต.,20.336,100.002
จ.เชียงราย,เชียงแสน,องค์การบริหารส่วนตําบลศรีดอนมูล,ศรีดอนมูล,10445,รพ.สต.บ้านดอยสะโง้,รพ.สต.,20.336,100.002
จ.เชียงราย,เวียงแก่น,เทศบาลตำบลท่าข้าม,ท่าข้าม,6793,รพ.สต.ท่าข้าม,รพ.สต.,20.042,100.52
จ.เชียงราย,เวียงแก่น,เทศบาลตำบลหล่ายงาว,หล่ายงาว,6792,รพ.สต.หล่ายงาว,รพ.สต.,20.117,100.48
จ.เชียงราย,พาน,เทศบาลตำบลสันมะเค็ด,สันมะเค็ด,6705,รพ.สต.สันมะเค็ด,รพ.สต.,19.609,99.864
จ.เชียงราย,พาน,เทศบาลตำบลสันมะเค็ด,สันมะเค็ด,14890,รพ.สต.บ้านใหม่ท่าเรือ,รพ.สต.,19.609,99.864
จ.เชียงราย,เทิง,เทศบาลตำบลหงาว,หงาว,6700,รพ.สต.หงาว,รพ.สต.,19.678,100.283
จ.เชียงราย,เทิง,เทศบาลตำบลหงาว,หงาว,6701,รพ.สต.บ้านดอนแยง,รพ.สต.,19.678,100.283
จ.เชียงราย,ขุนตาล,องค์การบริหารส่วนตําบลต้า,ต้า,6794,รพ.สต.บ้านพระเนตร,รพ.สต.,19.804,100.233
จ.เชียงราย,ขุนตาล,องค์การบริหารส่วนตําบลต้า,ต้า,6795,รพ.สต.ต้า,รพ.สต.,19.804,100.233
จ.เชียงราย,ขุนตาล,องค์การบริหารส่วนตําบลต้า,ต้า,11199,รพ.ขุนตาล,รพ.,19.804,100.233
จ.เชียงราย,ดอยหลวง,องค์การบริหารส่วนตําบลหนองป่าก่อ,หนองป่าก่อ,6824,รพ.สต.หนองป่าก่อ,รพ.สต.,20.181,100.124
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลเวียงห้าว,เวียงห้าว,6721,รพ.สต.เวียงห้าว,รพ.สต.,19.524,99.88
จ.เชียงราย,เวียงแก่น,เทศบาลตำบลม่วงยาย,ม่วงยาย,6788,รพ.สต.ม่วงยาย,รพ.สต.,20.108,100.539
